date,meta,google,tiktok,revenue
2024-04-24,2159.01,3293.27,1730.29,20057.16
2024-04-25,1644.89,4271.33,1145.61,22627.57
2024-04-26,4718.79,4357.92,1647.84,29972.07
2024-04-27,4232.48,1703.87,2950.08,26614.73
2024-04-28,3533.62,3185.76,1731.55,27435.13
2024-04-29,4485.84,4316.37,1321.88,30351.14
2024-04-30,0.0,0.0,0.0,10000.0
2024-05-01,4214.69,3764.11,2083.5,28279.03
2024-05-02,1746.28,5354.2,1100.36,23693.3
2024-05-03,4570.24,4464.12,689.66,31490.89
2024-05-04,3157.37,2233.2,822.2,22011.84
2024-05-05,4229.76,1817.56,820.11,150000.0
2024-05-06,4584.37,4390.89,879.76,29020.78
2024-05-07,2272.01,1619.3,847.07,19127.74
2024-05-08,1440.21,4135.99,2102.19,22991.5
2024-05-09,1911.74,5731.04,954.7,25093.67
2024-05-10,2708.43,4089.63,1364.17,24410.03
2024-05-11,4272.06,3246.76,2741.97,28500.32
2024-05-12,4442.92,4394.8,1684.9,29163.52
2024-05-13,1027.81,3562.14,2168.89,20562.85
2024-05-14,3042.99,3955.28,930.8,25037.46
2024-05-15,2669.64,5736.59,980.72,27120.97
2024-05-16,1888.43,3237.46,602.17,22208.58
2024-05-17,1479.46,5825.36,922.34,22196.29
2024-05-18,2350.46,5574.08,1196.48,27731.63
2024-05-19,4771.64,2381.06,942.53,27160.63
2024-05-20,2292.81,1812.13,721.76,17098.73
2024-05-21,3075.16,1953.5,801.59,20900.88
2024-05-22,3812.08,1582.0,1651.95,22845.06
2024-05-23,2454.52,1924.99,1015.83,18676.42
2024-05-24,4887.13,4573.53,1410.67,29899.03
2024-05-25,4849.79,1820.35,1758.54,24945.84
2024-05-26,2007.13,2935.39,2225.99,24122.84
2024-05-27,2988.99,5301.94,598.28,27772.89
2024-05-28,2203.51,1604.72,2498.53,22006.02
2024-05-29,2139.36,5165.11,2069.75,27209.16
2024-05-30,1147.55,2768.35,704.4,17223.85
2024-05-31,3438.26,2031.74,2683.95,23917.52
2024-06-01,3010.72,4635.32,2802.18,28819.14
2024-06-02,1205.92,4330.24,652.69,20008.56
2024-06-03,2114.59,5448.62,1192.19,26603.24
2024-06-04,0.0,0.0,0.0,10000.0
2024-06-05,4633.06,4807.82,2515.5,31625.09
2024-06-06,1958.25,5115.66,2370.65,25986.3
2024-06-07,1579.58,2769.16,961.3,20324.08
2024-06-08,2957.81,2298.48,1023.37,22316.76
2024-06-09,4942.6,4877.77,1426.18,31004.15
2024-06-10,1968.22,5130.76,1711.31,26778.35
2024-06-11,3688.54,5957.27,2045.64,30211.59
2024-06-12,4046.48,3356.78,1422.28,27267.13
2024-06-13,1950.55,3174.08,1656.34,22585.26
2024-06-14,3912.87,4993.86,2368.68,30130.12
2024-06-15,2471.13,3033.62,591.71,21933.18
2024-06-16,3529.22,5688.41,1131.09,28109.62
2024-06-17,3534.12,5362.86,2283.37,31092.28
2024-06-18,3143.1,3430.47,2738.02,26190.39
2024-06-19,1361.16,4878.92,1779.19,23388.91
2024-06-20,4341.21,4895.44,1830.28,31607.81
2024-06-21,2283.12,1964.06,767.93,18775.34
2024-06-22,1746.07,5561.49,1618.53,24385.82
2024-06-23,1163.1,3773.64,1831.54,19992.59
2024-06-24,3363.57,5219.06,1106.18,28727.58
2024-06-25,3710.26,2940.22,1173.11,23582.27
2024-06-26,1066.35,5529.85,1443.21,25786.36
2024-06-27,3048.37,3251.41,550.18,21137.24
2024-06-28,1905.98,1548.77,1305.2,20243.64
2024-06-29,0.0,0.0,0.0,10000.0
2024-06-30,3580.69,5574.22,1028.62,29356.48
2024-07-01,1697.47,1910.79,1318.74,18659.63
2024-07-02,3763.75,2936.91,799.41,23981.06
2024-07-03,2546.94,5775.28,2726.32,29669.49
2024-07-04,4746.92,5777.73,1983.98,33186.28
2024-07-05,1550.08,4080.47,2197.76,24495.64
2024-07-06,2364.27,4343.27,2472.93,26101.01
2024-07-07,1453.89,3518.0,1746.11,21776.6
2024-07-08,4698.77,2819.45,717.3,25909.46
2024-07-09,4509.36,2978.99,1842.77,27437.14
2024-07-10,2031.77,4526.33,1967.1,25285.61
2024-07-11,3639.94,4885.69,2363.6,27928.24
2024-07-12,4268.89,5062.11,1579.15,29050.14
2024-07-13,3220.8,5053.28,818.95,27907.68
2024-07-14,3118.6,1910.43,1209.44,21921.89
2024-07-15,1967.41,3724.89,1407.71,22538.37
2024-07-16,1372.41,1759.01,2114.79,18741.72
2024-07-17,4588.86,3972.88,1926.95,29906.6
2024-07-18,4601.67,3486.89,1390.24,27528.61
2024-07-19,3532.41,5494.67,2966.29,30442.94
2024-07-20,0.0,0.0,0.0,10000.0
2024-07-21,2356.12,3079.12,2014.44,23339.04
2024-07-22,2396.84,2026.8,1093.07,19254.59
2024-07-23,3903.82,2143.46,754.46,23760.24
2024-07-24,4588.44,4926.8,882.15,28318.8
2024-07-25,4548.35,4281.98,1114.89,30080.96
2024-07-26,4119.5,1955.05,901.7,24136.64
2024-07-27,3568.13,1878.48,966.42,22646.87
2024-07-28,1336.56,4654.36,1212.74,23756.26
2024-07-29,1646.51,1827.43,933.43,19697.31
2024-07-30,4594.22,5198.37,2741.91,33769.01
2024-07-31,3425.72,4678.09,700.58,24956.96
2024-08-01,1036.79,1866.07,1811.28,16533.82
2024-08-02,1405.89,1881.77,1525.99,17686.51
2024-08-03,3654.01,5939.88,2955.95,32303.82
2024-08-04,1020.25,3184.22,780.1,19429.91
2024-08-05,1643.23,3167.89,1494.64,20385.14
2024-08-06,3194.94,5157.6,2923.68,30007.71
2024-08-07,3767.58,5762.62,2663.77,31102.53
2024-08-08,3607.85,5937.0,2542.68,31063.57
2024-08-09,1897.08,4890.2,1144.76,22942.98
2024-08-10,0.0,0.0,0.0,10000.0
2024-08-11,3848.72,3193.17,927.22,24404.31
2024-08-12,1949.0,1875.75,2171.61,18918.39
2024-08-13,2301.6,4997.16,2823.44,26470.66
2024-08-14,3985.97,4012.82,1891.91,29316.13
2024-08-15,3598.53,3409.0,1929.03,25418.41
2024-08-16,4396.89,5578.59,1199.95,33786.96
2024-08-17,3630.45,2000.39,2423.73,24989.49
2024-08-18,3273.23,3716.81,967.61,25237.35
2024-08-19,1374.7,1551.09,1309.2,16528.98
2024-08-20,2470.86,3608.97,1563.59,24508.67
2024-08-21,2060.81,1753.36,1769.03,19237.03
2024-08-22,1975.96,2034.68,1106.02,19458.77
2024-08-23,4892.04,2028.87,787.09,27919.05
2024-08-24,2572.39,4421.45,2026.55,25953.66
2024-08-25,4568.19,4857.2,1221.58,31408.14
2024-08-26,3524.55,4125.16,1953.1,26819.85
2024-08-27,4179.25,5829.78,885.91,30716.04
2024-08-28,3010.55,3186.92,1702.85,26173.88
2024-08-29,3307.62,2785.7,1831.47,23861.82
2024-08-30,2970.07,5408.7,629.56,28837.73
