date,meta,google,tiktok,youtube,discount,revenue
2023-09-25,88300.83291116651,83618.31366644395,15207.296314596855,36232.774159210356,0.0,3419731.90810769
2023-10-02,161893.82001668023,169030.85671910955,39909.049946754836,71029.23064397446,0.0,3861629.6775077083
2023-10-09,76681.19560702657,57219.2808478708,14653.325732973264,17987.527139780777,0.0,3483640.8185796337
2023-10-16,113110.3027041361,71616.05104339527,89486.39327674103,88842.85521547223,0.0,3545186.03517294
2023-10-23,101475.90774663158,126149.67434196157,26423.690804901486,90039.82972337777,0.0,3786866.8421441587
2023-10-30,45823.005764376365,104346.74428355406,13962.674040837092,34123.35081537504,0.0,3518413.2487580166
2023-11-06,189367.01710555755,122977.38586332665,24747.92954262058,65503.65790187125,0.0,3919626.1508978987
2023-11-13,77737.33952939065,108038.85179575392,40054.0646290935,100880.83802958396,0.0,3850970.8516439814
2023-11-20,53208.60640133819,112139.97937485624,46799.77874948025,51288.77232035449,0.0,3771672.109892165
2023-11-27,123978.65396699277,74687.14842437312,69370.38588207372,46334.07835787,0.0,3801104.4967171345
2023-12-04,93112.21824335428,110666.03329802856,22832.154220291006,49397.394552747566,0.0,3839604.6676761773
2023-12-11,108691.12211171746,86041.850932947,53515.942591631974,62588.00897992979,1.0,4332342.935932557
2023-12-18,97302.00766468997,91027.94796009971,9783.232169910005,38860.63025066413,0.0,3633559.211682981
2023-12-25,29822.30696021421,141832.1704352942,17018.957474817536,44242.78521356915,1.0,4046273.3864341774
2024-01-01,61436.28066077476,55922.76917782392,12375.179936150495,63226.30665229747,0.0,3726054.0144421924
2024-01-08,60301.61982256968,31123.427820910525,20207.996951729485,42303.030646339255,0.0,3383788.491561426
2024-01-15,138760.81986882415,137599.95965942738,52135.53521881475,27918.649419802892,0.0,3809237.3126167827
2024-01-22,94663.03018223046,110711.91478110972,23197.89171836649,16982.40355665379,0.0,3957561.7009581844
2024-01-29,116070.50812876131,170121.3930478936,26128.290608808133,55892.8191672391,0.0,4165334.0181558407
2024-02-05,79879.97149299306,72454.72990132163,40694.502596818005,97765.5721228614,0.0,3869363.850667791
2024-02-12,118566.46273834733,97854.67973986875,45661.07894491824,67174.16065507519,1.0,4575578.74845262
2024-02-19,86815.80701656862,105998.63853076483,26641.73412814812,28550.24572611327,1.0,4569950.090921033
2024-02-26,83991.76548963608,78591.85104858916,16936.152331058605,36085.237590296805,0.0,3988018.228388445
2024-03-04,101171.91639880204,68481.23284707934,81343.24103035322,46150.99577194692,0.0,4140231.783494046
2024-03-11,97297.7821491559,140452.28773708688,26755.33614459415,126454.53573879295,0.0,4131874.139744965
2024-03-18,249822.7014427125,53498.54888834221,28484.33960676781,129870.90064863759,0.0,4313342.10722413
2024-03-25,61109.501082461014,63595.05024503661,30789.078361360946,122312.87274327326,0.0,4147000.8535268256
2024-04-01,43308.45705266571,96485.59581541056,48483.04432042312,58850.88333051181,0.0,4147780.889515063
2024-04-08,107643.8507952063,147170.64075348343,11635.458600525759,206150.9054572989,0.0,4472888.615027335
2024-04-15,65244.17538086149,80790.81358658965,99051.63034683438,37083.84366759762,0.0,4486072.675248076
2024-04-22,27903.887521281904,76454.97561836975,27987.386005751527,45248.021493276174,1.0,4638957.495480973
2024-04-29,54545.42172463343,94104.1329495723,49436.91131690954,85442.99589410082,0.0,4226547.746727301
2024-05-06,225159.05400891128,118307.03534467354,14082.116877473904,63395.77890158582,0.0,4237936.433555002
2024-05-13,60343.334212251386,88005.83734947142,38274.91746682566,65245.11818360464,0.0,4170050.0690152002
2024-05-20,36126.01623528713,154903.15296207726,90550.23870079943,31340.691266543086,0.0,4308278.421234487
2024-05-27,218862.04397961547,157600.37787662097,83496.81369565951,53339.266298596674,0.0,4429627.032760251
2024-06-03,53513.96546376265,96483.49501708773,48687.705570998514,37388.535511510105,1.0,4538258.174899653
2024-06-10,283516.1614060921,210516.61632958488,19296.94028727177,24754.63766127538,0.0,4388945.429940097
2024-06-17,78310.08532041663,105001.85845043925,67303.60276694529,39853.111326781276,0.0,4133182.9634876247
2024-06-24,189715.65838111128,155414.22779489812,9725.208965342346,63404.88494709928,0.0,4050682.927644174
2024-07-01,83132.13416866273,116947.55252154164,18821.44909917381,78536.59718553431,0.0,3960601.2664720486
2024-07-08,113405.6974903003,116050.41103612709,32963.332139054495,16590.485086459834,0.0,3997546.518341531
2024-07-15,87670.08924356422,47924.837097126074,10436.029865723032,54646.91353248721,0.0,3610635.228629105
2024-07-22,83416.59689964072,61222.263442626594,24711.824187505674,52082.641065341464,0.0,3614757.490223651
2024-07-29,103727.86261945059,89945.86915875792,54139.841126368825,61736.42883441187,0.0,3844653.2560253423
2024-08-05,115224.4010960129,157108.44366318668,21612.957131133113,28860.73587385298,0.0,3793737.9919496393
2024-08-12,100210.99051265686,117635.99026559474,55609.268850022476,29194.274575736214,1.0,4297770.520601996
2024-08-19,95648.79493533168,90294.15303693977,113834.10945246284,99067.67622091917,1.0,4347152.71203361
2024-08-26,65500.61851744601,130897.31238552529,43565.724435708726,9894.127556241423,0.0,3619700.558280157
2024-09-02,89192.85402882277,154712.39830021895,55057.45306121861,34374.8729474413,0.0,3970942.0450579566
2024-09-09,179148.50237773478,102271.8609345929,68607.21790005398,44084.07491537757,0.0,3771618.9513421482
2024-09-16,64094.855525536936,111860.34455717322,26220.614135650932,46522.90709691737,0.0,3487763.8624188863
2024-09-23,105077.43293034587,105971.97915314969,54310.26494528027,37778.245734343414,0.0,3570991.1291423463
2024-09-30,154834.902401063,99586.21599994945,25809.81656584835,69933.1225863329,0.0,3599450.559225185
2024-10-07,115652.77281115559,72113.2136144468,41770.77855897788,66969.50960200475,0.0,3675808.2585195545
2024-10-14,139411.0746526064,69690.617965943,59059.92560273083,50872.803388362765,0.0,3659292.759889169
2024-10-21,53108.11810068008,130559.3274336231,19911.608143508027,38994.27512205364,0.0,3643839.539088629
2024-10-28,105197.15283806549,155928.08053851392,5055.440661296057,48775.747475451346,0.0,3772673.9613031866
2024-11-04,81270.63657011263,90219.71232152758,18642.126333578024,57032.82997706275,0.0,3645678.356348644
2024-11-11,82864.46443225506,89337.2386582483,64067.87214094693,36109.88144279461,1.0,4119381.3246209
2024-11-18,172436.84824323215,41930.877715790586,17065.163471239885,72550.99282608298,1.0,4030707.0835990906
2024-11-25,83469.66331989954,38266.83423473503,62049.97895688898,88515.20267130005,0.0,3684254.96316638
2024-12-02,106714.71049622472,172310.75555136218,18706.513339449844,107429.10500524883,0.0,3746562.708270855
2024-12-09,36149.1196175535,74172.90715526755,30173.162834657123,104191.5390338849,0.0,3755926.593787865
2024-12-16,189622.25857096663,244832.90935053577,34377.76640544805,46364.830852198895,0.0,3951782.5021876544
2024-12-23,135850.65468994467,79852.78456053993,17008.786068785503,58496.06787484485,0.0,3985536.1167532397
